,Predict
4,43.749588
5,47.090443
8,44.62752
10,40.93875
11,28.820621
13,46.328415
16,39.373154
21,27.117306
22,8.113305
23,40.18806
31,51.85894
32,41.54024
34,51.662853
35,37.961292
36,30.533772
37,37.19996
39,36.046852
42,38.477196
48,25.222557
51,47.38086
52,33.51916
54,13.360564
55,14.429156
57,9.207704
59,34.053288
61,50.31614
63,50.120052
64,48.3823
66,43.669125
67,28.764387
68,40.240753
70,33.908737
71,28.627644
79,29.266508
81,34.329586
82,28.082394
84,24.282469
87,24.069464
88,43.929554
89,41.09865
97,33.204426
99,39.43615
100,36.80891
102,37.700077
105,39.43615
106,32.95829
107,60.74124
108,59.9904
116,55.35939
118,71.467606
119,70.20526
121,67.182335
124,50.269608
125,62.68322
126,64.43623
134,64.738495
136,75.64204
137,68.91258
139,71.76723
142,59.81612
144,64.51512
152,66.84186
154,76.54665
156,71.80355
159,65.99404
371,46.01085
373,28.930138
374,37.620823
375,37.824646
376,65.36536
378,53.366287
380,73.91599
383,14.861172
384,13.060352
385,14.264357
396,19.345797
397,13.857889
398,16.69798
409,45.156593
410,38.228188
411,41.74906
422,53.284184
423,48.28972
424,51.69442
435,53.509388
436,48.7742
437,52.307182
528,9.279116
529,24.481705
530,15.900593
531,28.648382
532,32.21044
533,17.162144
534,19.829418
535,41.47119
536,25.471884
539,21.24361
540,21.626564
542,31.246925
543,11.634416
547,38.943333
548,15.866999
549,38.22421
550,7.77787
553,18.074917
554,17.650526
555,23.00452
556,21.60859
557,12.77603
558,26.527927
559,35.861057
560,22.316746
561,33.4126
563,28.126118
564,9.106466
570,24.4951
571,17.445742
572,10.9772
573,32.450672
621,19.583832
622,46.707558
623,42.14869
624,29.332449
625,7.006336
626,33.050755
627,5.001721
628,2.979575
629,25.30521
630,23.982819
631,33.63156
632,11.321582
633,20.424353
634,23.037066
635,28.912691
636,30.309452
637,10.99509
638,33.072388
639,28.246847
640,19.367796
641,11.248357
642,12.549399
643,37.51319
644,4.8291693
645,16.36568
646,43.7498
647,20.185713
648,6.8677473
649,15.327138
650,13.235229
651,32.41942
652,15.18914
653,7.544835
654,39.291706
655,32.56013
656,17.621857
657,23.493622
658,24.321486
659,36.3386
660,49.505188
661,13.226482
662,14.036651
663,47.204227
664,2.4404473
665,13.856786
666,23.05307
667,6.873438
668,39.95234
669,18.06366
670,35.469288
671,22.327738
672,10.68928
673,7.9755945
674,39.064754
675,9.563349
676,6.963692
677,50.00845
678,16.842676
679,30.25133
680,9.7928
681,4.819432
682,28.60896
683,41.15495
684,5.35864
685,31.884108
686,36.92063
687,52.761948
688,21.681923
689,9.672702
690,8.403524
691,39.45032
692,10.099563
693,4.85155
694,10.483925
695,43.8522
696,51.37423
804,36.896633
805,33.78831
806,16.641275
807,19.985384
808,35.668354
809,33.661915
811,33.650417
813,27.661276
814,26.510498
815,45.109264
818,43.76584
819,52.307053
820,56.367523
821,63.577824
822,52.31815
823,33.239544
825,35.65046
826,32.865734
829,41.894077
830,60.84491
832,32.74731
833,52.157963
837,34.835964
838,42.016388
840,40.931705
841,39.219505
842,37.64006
843,43.667976
845,23.748438
846,32.560406
847,32.33454
848,28.54691
850,18.49993
851,32.55765
853,28.954268
854,44.21813
856,25.489288
857,35.354366
858,32.792446
860,25.96926
863,19.130037
864,34.17603
868,23.541153
869,28.903341
870,48.583374
871,52.187912
872,40.683
875,37.03887
876,29.868456
877,56.352104
879,23.673107
881,39.681263
882,45.755558
883,44.192795
884,23.569443
885,26.082235
887,43.370937
889,40.982483
890,27.661243
891,45.79377
892,26.74846
895,28.871716
897,33.687202
898,38.10695
899,27.166637
900,27.5669
901,34.79995
902,32.902428
903,24.470604
904,21.87756
905,32.864162
907,24.200943
908,23.91081
909,22.891005
910,28.920713
911,28.54691
913,18.137445
914,32.307785
916,28.954268
917,45.06276
919,25.489288
920,35.354366
921,32.792446
923,26.07438
926,19.090967
927,34.17603
931,23.541153
932,29.685892
933,48.583374
934,52.187912
935,40.683
938,37.03887
939,29.868456
940,56.352104
942,23.799875
944,39.681263
945,45.755558
946,44.192795
947,23.66251
948,26.082235
950,43.370937
952,41.725975
953,26.633497
954,45.79377
955,26.795788
958,28.871716
960,33.7326
961,36.896633
962,33.657825
963,16.641275
964,19.985384
965,35.739567
966,37.634773
968,33.650417
970,27.661276
971,27.070042
972,45.109264
975,43.76584
976,52.307053
977,56.367523
978,63.577824
979,52.31815
980,33.273212
982,35.65046
983,32.865734
986,42.822697
987,60.84491
989,32.74731
990,52.157963
994,34.859547
995,42.016388
997,40.931705
998,39.357716
999,37.64006
1000,43.667976
1002,23.748438
1003,32.691467
1004,32.33454
