Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",cluster
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.99,0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.89,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.27,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.3,2
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.03,2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.7,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.45,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.29,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02,2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.33,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.91,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.36,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.84,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.21,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.52,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15,0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.12,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.43,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.6,0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.91,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.72,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.13,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.41,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.08,2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.23,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.46,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.7,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,39.0,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.1,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.08,0
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.05,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.76,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26,2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.78,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.12,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.64,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.93,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.13,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.95,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.02,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.38,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.73,2
